,Predictor,Category,Data-coding,Source,Field ID,Transformation1,AOU Question,Unnamed: 6,AOU Answers,Question Concept ID,Answer ID,TERTILES,TERTILE_Answer,TIME TAKEN ,Transformation2,Notes
0,Able.to.confide...Instance.0_0,Psychosocial factors,0 : Never or almost never,Questionnaire/Interview at recruitment ,2110,One-Hot-Encoding ,,,,,,,,,,
1,Able.to.confide...Instance.0_1,,1 : Once every few months,Questionnaire/Interview at recruitment ,2110,One-Hot-Encoding ,,,,,,,,,,
2,Able.to.confide...Instance.0_2,Psychosocial factors,2 : About once a month,Questionnaire/Interview at recruitment ,2110,One-Hot-Encoding ,,,,,,,,,,
3,Able.to.confide...Instance.0_3,Psychosocial factors,3 : About once a week,Questionnaire/Interview at recruitment ,2110,One-Hot-Encoding ,,,,,,,,,,
4,Able.to.confide...Instance.0_4,Psychosocial factors,4 : 2-4 times a week,Questionnaire/Interview at recruitment ,2110,One-Hot-Encoding ,,,,,,,,,,
5,Able.to.confide...Instance.0_5,Psychosocial factors,5 : Almost daily,Questionnaire/Interview at recruitment ,2110,One-Hot-Encoding ,,,,,,,,,,
6,Adopted.as.a.child...Instance.0_0,,0 : No,Questionnaire/Interview at recruitment ,1767,Boolean,,,,,,,,,,
7,Adopted.as.a.child...Instance.0_1,,1 : Yes,Questionnaire/Interview at recruitment ,1767,Boolean,,,,,,,,,,
8,Adopted.father.still.alive...Instance.0_0,Family history,0 : No,Questionnaire/Interview at recruitment ,3912,Boolean,,,,,,,,,,
9,Adopted.father.still.alive...Instance.0_1,Family history,1 : Yes,Questionnaire/Interview at recruitment ,3912,Boolean,,,,,,,,,,
10,Adopted.mother.still.alive...Instance.0_0,Family history,0 : No,Questionnaire/Interview at recruitment ,3942,Boolean,,,,,,,,,,
11,Adopted.mother.still.alive...Instance.0_1,Family history,1 : Yes,Questionnaire/Interview at recruitment ,3942,Boolean,,,,,,,,,,
12,Age.angina.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,3627,Tertiles,,,,,,,,,,
13,Age.angina.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,3627,Tertiles,,,,,,,,,,
14,Age.angina.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,3627,Tertiles,,,,,,,,,,
15,Age.asthma.diagnosed...Instance.0_Lower.third,Health and medical history,,Questionnaire/Interview at recruitment ,3786,Tertiles,About how old were you when you were first told you had asthma?,,Child (0-11),43530546,1384744,,,,1,34.44%
16,Age.asthma.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,3786,Tertiles,About how old were you when you were first told you had asthma?,,Adolescent (12-17),43530546,1384900,,,,1,16.18%
17,Age.asthma.diagnosed...Instance.0_Middle.third,Health and medical history,,Questionnaire/Interview at recruitment ,3786,Tertiles,About how old were you when you were first told you had asthma?,,Adult (18-64),43530546,1385322,,,,1,46.29%
18,Age.asthma.diagnosed...Instance.0_Upper.third,Health and medical history,,Questionnaire/Interview at recruitment ,3786,Tertiles,About how old were you when you were first told you had asthma?,,Older adult (65-74),43530546,1385455,,,,1,2.48%
